protein_id	gene_id	gene_symbol
FBpp0075787	FBgn0041096	rols
FBpp0075789	FBgn0041096	rols
FBpp0306230	FBgn0041096	rols
FBpp0301715	FBgn0041096	rols
FBpp0301716	FBgn0041096	rols
FBpp0075788	FBgn0041096	rols
FBpp0075785	FBgn0041096	rols
FBpp0306229	FBgn0041096	rols
FBpp0075786	FBgn0041096	rols
FBpp0070431	FBgn0011566	Smyd3
FBpp0086574	FBgn0033968	hui
FBpp0086575	FBgn0033968	hui
FBpp0078850	FBgn0000052	Pfas
FBpp0078851	FBgn0000052	Pfas
FBpp0078852	FBgn0000052	Pfas
FBpp0083620	FBgn0038960	CG13855
FBpp0072077	FBgn0034964	IntS1
FBpp0303877	FBgn0035252	CG7970
FBpp0072645	FBgn0035252	CG7970
FBpp0312396	FBgn0035252	CG7970
FBpp0289193	FBgn0259246	brp
FBpp0428442	FBgn0259246	brp
FBpp0307674	FBgn0259246	brp
FBpp0428441	FBgn0259246	brp
FBpp0293598	FBgn0259246	brp
FBpp0428440	FBgn0259246	brp
FBpp0289194	FBgn0259246	brp
FBpp0293597	FBgn0259246	brp
FBpp0428439	FBgn0259246	brp
FBpp0289769	FBgn0259246	brp
FBpp0293599	FBgn0259246	brp
FBpp0293596	FBgn0259246	brp
FBpp0289478	FBgn0259246	brp
FBpp0428443	FBgn0259246	brp
FBpp0112447	FBgn0039944	CG17162
FBpp0112448	FBgn0039944	CG17162
FBpp0112449	FBgn0039944	CG17162
FBpp0112446	FBgn0039944	CG17162
FBpp0310818	FBgn0039944	CG17162
FBpp0310421	FBgn0039944	CG17162
FBpp0289318	FBgn0039944	CG17162
FBpp0077417	FBgn0031455	Snapin
FBpp0300914	FBgn0263314	CG43400
FBpp0311664	FBgn0263352	Unr
FBpp0076384	FBgn0263352	Unr
FBpp0113084	FBgn0263352	Unr
FBpp0305200	FBgn0263352	Unr
FBpp0301053	FBgn0263352	Unr
FBpp0310214	FBgn0261648	salm
FBpp0088852	FBgn0261648	salm
FBpp0390664	FBgn0038349	AOX3
FBpp0082605	FBgn0038349	AOX3
FBpp0091099	FBgn0053853	His2A:CG33853
FBpp0082031	FBgn0038000	Rsbp15
FBpp0078785	FBgn0031747	CG9021
FBpp0311771	FBgn0031747	CG9021
FBpp0071596	FBgn0003687	Tbp
FBpp0079356	FBgn0032075	Tsp29Fb
FBpp0271928	FBgn0032075	Tsp29Fb
FBpp0079357	FBgn0032075	Tsp29Fb
FBpp0304841	FBgn0014455	Ahcy
FBpp0073847	FBgn0014455	Ahcy
FBpp0312000	FBgn0014455	Ahcy
FBpp0072465	FBgn0035139	CG13891
FBpp0289372	FBgn0053246	Ste:CG33246
FBpp0079651	FBgn0267365	l(2)SH0834
FBpp0079801	FBgn0032358	Ppt2
FBpp0291083	FBgn0029154	Menl-1
FBpp0304143	FBgn0052579	CG32579
FBpp0304142	FBgn0052579	CG32579
FBpp0074004	FBgn0052579	CG32579
FBpp0308307	FBgn0011670	Mst57Dc
FBpp0291148	FBgn0265349	Sfp33A4
FBpp0309513	FBgn0265726	Nna1
FBpp0309516	FBgn0265726	Nna1
FBpp0309520	FBgn0265726	Nna1
FBpp0309519	FBgn0265726	Nna1
FBpp0309514	FBgn0265726	Nna1
FBpp0309515	FBgn0265726	Nna1
FBpp0309517	FBgn0265726	Nna1
FBpp0309522	FBgn0265726	Nna1
FBpp0309518	FBgn0265726	Nna1
FBpp0309521	FBgn0265726	Nna1
FBpp0309019	FBgn0034010	CG8157
FBpp0086522	FBgn0034010	CG8157
FBpp0071724	FBgn0034717	CG5819
FBpp0300937	FBgn0034717	CG5819
FBpp0071725	FBgn0034717	CG5819
FBpp0390648	FBgn0262477	FoxP
FBpp0293409	FBgn0262477	FoxP
FBpp0302969	FBgn0262477	FoxP
FBpp0081604	FBgn0037737	Pnn
FBpp0112122	FBgn0037737	Pnn
