protein_id	gene_id	gene_symbol
FBpp0091078	FBgn0053832	His2A:CG33832
FBpp0423076	FBgn0262170	CG42878
FBpp0082341	FBgn0038189	Art6
FBpp0309543	FBgn0085193	CG34164
FBpp0111270	FBgn0085193	CG34164
FBpp0081342	FBgn0037583	Veneno
FBpp0076005	FBgn0047038	ND-13B
FBpp0078219	FBgn0044324	Chro
FBpp0311928	FBgn0044324	Chro
FBpp0078221	FBgn0044324	Chro
FBpp0078220	FBgn0044324	Chro
FBpp0304363	FBgn0044324	Chro
FBpp0291514	FBgn0038606	CG15803
FBpp0311433	FBgn0038606	CG15803
FBpp0110103	FBgn0083949	side-III
FBpp0304823	FBgn0264443	CG43861
FBpp0304822	FBgn0264443	CG43861
FBpp0311557	FBgn0264443	CG43861
FBpp0304821	FBgn0264443	CG43861
FBpp0301687	FBgn0000153	b
FBpp0080119	FBgn0000153	b
FBpp0309589	FBgn0000153	b
FBpp0085625	FBgn0034487	Efhc1.2
FBpp0082102	FBgn0038054	CG5509
FBpp0088908	FBgn0034405	Jheh2
FBpp0311868	FBgn0034405	Jheh2
FBpp0071652	FBgn0034665	CG4372
FBpp0074177	FBgn0030823	TTLL1A
FBpp0305790	FBgn0035607	CG4835
FBpp0291007	FBgn0004368	Ptp4E
FBpp0291008	FBgn0004368	Ptp4E
FBpp0070692	FBgn0004368	Ptp4E
FBpp0310133	FBgn0004368	Ptp4E
FBpp0310132	FBgn0004368	Ptp4E
FBpp0291010	FBgn0004368	Ptp4E
FBpp0070693	FBgn0004368	Ptp4E
FBpp0076378	FBgn0035906	GstO2
FBpp0076377	FBgn0035906	GstO2
FBpp0084718	FBgn0039612	Nepl19
FBpp0310884	FBgn0266488	CG45087
FBpp0307452	FBgn0031498	CG17260
FBpp0310513	FBgn0031498	CG17260
FBpp0077338	FBgn0031498	CG17260
FBpp0078240	FBgn0037409	Osi24
FBpp0309591	FBgn0034540	Lrt
FBpp0291490	FBgn0034540	Lrt
FBpp0424325	FBgn0038788	Sirt2
FBpp0424326	FBgn0038788	Sirt2
FBpp0305188	FBgn0031282	Pex12
FBpp0077675	FBgn0031282	Pex12
FBpp0080837	FBgn0032835	CG16772
FBpp0312121	FBgn0032835	CG16772
FBpp0070637	FBgn0026079	Nsun2
FBpp0077541	FBgn0026398	Or22a
FBpp0081190	FBgn0004782	Ccp84Ab
FBpp0112564	FBgn0063670	CG40228
FBpp0306003	FBgn0063670	CG40228
FBpp0306004	FBgn0063670	CG40228
FBpp0306002	FBgn0063670	CG40228
FBpp0088148	FBgn0039911	CG1909
FBpp0088149	FBgn0039911	CG1909
FBpp0077278	FBgn0031531	CG8840
FBpp0076423	FBgn0035859	CG13678
FBpp0071097	FBgn0000427	dec
FBpp0301952	FBgn0000427	dec
FBpp0071099	FBgn0000427	dec
FBpp0301548	FBgn0000427	dec
FBpp0301549	FBgn0000427	dec
FBpp0071098	FBgn0000427	dec
FBpp0075005	FBgn0036711	CG13727
FBpp0080997	FBgn0032919	pths
FBpp0075238	FBgn0036580	PDCD-5
FBpp0079248	FBgn0032004	CG8292
FBpp0071879	FBgn0034829	CG9899
FBpp0083297	FBgn0038799	MFS9
FBpp0083296	FBgn0038799	MFS9
FBpp0305672	FBgn0032586	Tpr2
FBpp0305671	FBgn0032586	Tpr2
FBpp0080424	FBgn0032586	Tpr2
FBpp0080423	FBgn0032586	Tpr2
FBpp0305670	FBgn0032586	Tpr2
FBpp0082065	FBgn0029512	Aos1
FBpp0073547	FBgn0052643	CG32643
FBpp0111390	FBgn0085309	CG34280
FBpp0307962	FBgn0039859	Mnat9
FBpp0085227	FBgn0039859	Mnat9
FBpp0072826	FBgn0035358	CG14949
FBpp0077423	FBgn0031441	CG9962
FBpp0080257	FBgn0286027	Rnmt
FBpp0311990	FBgn0039754	CG9747
FBpp0084939	FBgn0039754	CG9747
FBpp0073265	FBgn0030242	sofe
FBpp0312030	FBgn0030242	sofe
FBpp0083851	FBgn0039120	Nup98-96
FBpp0293109	FBgn0039120	Nup98-96
FBpp0306915	FBgn0039120	Nup98-96
FBpp0087603	FBgn0033423	Alp6
FBpp0291295	FBgn0266084	Fhos
FBpp0297585	FBgn0266084	Fhos
FBpp0291739	FBgn0266084	Fhos
FBpp0306020	FBgn0266084	Fhos
FBpp0297587	FBgn0266084	Fhos
FBpp0291740	FBgn0266084	Fhos
FBpp0297586	FBgn0266084	Fhos
FBpp0291296	FBgn0266084	Fhos
FBpp0306021	FBgn0266084	Fhos
FBpp0303450	FBgn0020372	TM4SF
FBpp0099644	FBgn0020372	TM4SF
FBpp0072039	FBgn0020372	TM4SF
FBpp0100162	FBgn0065109	ppk11
FBpp0091062	FBgn0053816	His1:CG33816
FBpp0070949	FBgn0029892	CG3184
FBpp0082137	FBgn0026207	mbo
FBpp0073068	FBgn0003206	Ras64B
FBpp0075687	FBgn0011279	Obp69a
FBpp0312002	FBgn0030829	CG12998
FBpp0074168	FBgn0030829	CG12998
FBpp0076848	FBgn0035600	Cyt-c1
FBpp0297223	FBgn0035600	Cyt-c1
FBpp0291400	FBgn0033087	Hsepi
FBpp0085478	FBgn0033087	Hsepi
FBpp0080101	FBgn0032519	CG16957
FBpp0309564	FBgn0032519	CG16957
FBpp0310239	FBgn0261628	CG42711
FBpp0305110	FBgn0031054	Ssu72
FBpp0074516	FBgn0031054	Ssu72
FBpp0310565	FBgn0031054	Ssu72
FBpp0082873	FBgn0051418	CG31418
FBpp0309025	FBgn0260429	CG42524
FBpp0293255	FBgn0260429	CG42524
FBpp0290076	FBgn0260429	CG42524
FBpp0308566	FBgn0050021	metro
FBpp0113061	FBgn0050021	metro
FBpp0087292	FBgn0050021	metro
FBpp0113062	FBgn0050021	metro
FBpp0302987	FBgn0019968	Khc-73
FBpp0312023	FBgn0019968	Khc-73
FBpp0302988	FBgn0019968	Khc-73
FBpp0302989	FBgn0019968	Khc-73
FBpp0086490	FBgn0019968	Khc-73
FBpp0081047	FBgn0032946	nrv3
FBpp0081046	FBgn0032946	nrv3
FBpp0305547	FBgn0032946	nrv3
FBpp0081048	FBgn0032946	nrv3
FBpp0308456	FBgn0265313	CG44286
FBpp0308457	FBgn0265313	CG44286
FBpp0310840	FBgn0265313	CG44286
FBpp0310839	FBgn0265313	CG44286
FBpp0079864	FBgn0026390	Or33c
FBpp0078739	FBgn0004620	GluRIIA
FBpp0082738	FBgn0038425	CG14881
FBpp0082739	FBgn0038425	CG14881
FBpp0312166	FBgn0036853	mRpL21
FBpp0074789	FBgn0036853	mRpL21
FBpp0305426	FBgn0036853	mRpL21
FBpp0423395	FBgn0286976	Osi10a
FBpp0075970	FBgn0052069	CG32069
FBpp0081175	FBgn0037449	CG15185
FBpp0290422	FBgn0033919	CG8547
FBpp0308989	FBgn0033919	CG8547
FBpp0290421	FBgn0033919	CG8547
FBpp0071037	FBgn0029952	CG12689
FBpp0081985	FBgn0260741	CG3281
FBpp0075895	FBgn0036146	nkt
FBpp0074715	FBgn0029094	asf1
FBpp0291576	FBgn0029094	asf1
FBpp0110074	FBgn0034195	Spn53F
FBpp0301752	FBgn0036730	qjt
FBpp0074985	FBgn0036730	qjt
FBpp0303850	FBgn0029980	Dhdds
FBpp0071083	FBgn0029980	Dhdds
FBpp0075325	FBgn0004591	Eig71Ed
FBpp0080908	FBgn0259998	CG17571
FBpp0311699	FBgn0259998	CG17571
FBpp0076146	FBgn0016081	fry
FBpp0297352	FBgn0016081	fry
FBpp0305992	FBgn0016081	fry
FBpp0297350	FBgn0016081	fry
FBpp0305993	FBgn0016081	fry
FBpp0297351	FBgn0016081	fry
FBpp0290650	FBgn0016081	fry
FBpp0305991	FBgn0016081	fry
FBpp0305898	FBgn0011837	Tis11
FBpp0073516	FBgn0011837	Tis11
FBpp0311375	FBgn0011837	Tis11
FBpp0070372	FBgn0015036	Cyp4ae1
FBpp0077145	FBgn0031606	CG15439
FBpp0075678	FBgn0036310	CG10969
FBpp0300170	FBgn0053325	CG33325
FBpp0111683	FBgn0040799	CG13051
FBpp0099441	FBgn0054030	CG34030
FBpp0304896	FBgn0002945	nkd
FBpp0074806	FBgn0002945	nkd
FBpp0304895	FBgn0002945	nkd
FBpp0081622	FBgn0037762	eloF
FBpp0070954	FBgn0029912	Tmf
FBpp0073725	FBgn0030558	Tat
FBpp0308581	FBgn0030558	Tat
FBpp0428275	FBgn0287599	CG46468
FBpp0302807	FBgn0028475	Hrd3
FBpp0083858	FBgn0028475	Hrd3
FBpp0302854	FBgn0051792	CG31792
FBpp0302855	FBgn0051792	CG31792
FBpp0073017	FBgn0035471	Sc2
FBpp0290906	FBgn0038693	unc79
FBpp0290908	FBgn0038693	unc79
FBpp0310906	FBgn0038693	unc79
FBpp0310905	FBgn0038693	unc79
FBpp0290907	FBgn0038693	unc79
FBpp0070704	FBgn0029724	CG15472
FBpp0304575	FBgn0030230	Rph
FBpp0290773	FBgn0030230	Rph
FBpp0071431	FBgn0030230	Rph
FBpp0304574	FBgn0030230	Rph
FBpp0075631	FBgn0036335	mRpL20
FBpp0080162	FBgn0027929	NimB1
FBpp0301775	FBgn0027929	NimB1
FBpp0086938	FBgn0003527	stil
FBpp0070464	FBgn0283545	vilya
FBpp0071126	FBgn0030029	CG15343
FBpp0402882	FBgn0284231	CG46315
FBpp0402881	FBgn0284231	CG46315
FBpp0309577	FBgn0265836	CG44625
FBpp0300985	FBgn0038744	CG4733
FBpp0310665	FBgn0038744	CG4733
FBpp0290339	FBgn0038744	CG4733
FBpp0300986	FBgn0038744	CG4733
FBpp0304937	FBgn0036950	CG6996
FBpp0291861	FBgn0036950	CG6996
FBpp0083415	FBgn0010770	ppan
FBpp0084847	FBgn0262112	sro
FBpp0071699	FBgn0034705	CG11170
FBpp0309746	FBgn0034705	CG11170
FBpp0309747	FBgn0034705	CG11170
FBpp0302560	FBgn0001255	ImpE3
FBpp0072467	FBgn0035138	CG13884
FBpp0071049	FBgn0260858	Ykt6
FBpp0082056	FBgn0038039	CG5196
FBpp0082057	FBgn0038039	CG5196
FBpp0076686	FBgn0286051	Rexo5
FBpp0076685	FBgn0286051	Rexo5
FBpp0293867	FBgn0028412	Mst33A
FBpp0079856	FBgn0028412	Mst33A
FBpp0079855	FBgn0028412	Mst33A
FBpp0075923	FBgn0036110	Cpr67Fb
FBpp0076444	FBgn0035855	CG7366
FBpp0080968	FBgn0266369	Mtp
FBpp0083284	FBgn0003249	Rh3
FBpp0076538	FBgn0052376	CG32376
FBpp0312436	FBgn0038033	CG10097
FBpp0310759	FBgn0038033	CG10097
FBpp0099966	FBgn0038033	CG10097
FBpp0308733	FBgn0030451	CG15717
FBpp0073554	FBgn0030451	CG15717
FBpp0310939	FBgn0030451	CG15717
FBpp0292073	FBgn0037028	CG3618
FBpp0077929	FBgn0037028	CG3618
FBpp0080044	FBgn0032509	Grx3
FBpp0308417	FBgn0033278	CG14759
FBpp0087873	FBgn0033278	CG14759
FBpp0271924	FBgn0063667	meep
FBpp0078520	FBgn0037276	Ccdc39
FBpp0080926	FBgn0032878	CG9316
FBpp0077597	FBgn0051661	CG31661
FBpp0288957	FBgn0259195	CG42299
FBpp0304447	FBgn0035854	Dhps
FBpp0076418	FBgn0035854	Dhps
FBpp0307747	FBgn0037336	CG2519
FBpp0078408	FBgn0037336	CG2519
FBpp0078409	FBgn0037336	CG2519
FBpp0099432	FBgn0054021	CG34021
FBpp0309600	FBgn0030366	Usp7
FBpp0073474	FBgn0030366	Usp7
FBpp0307436	FBgn0044511	mRpS21
FBpp0082232	FBgn0044511	mRpS21
FBpp0312069	FBgn0052672	Atg8a
FBpp0071427	FBgn0052672	Atg8a
FBpp0312070	FBgn0052672	Atg8a
FBpp0074571	FBgn0086782	amn
FBpp0292387	FBgn0030599	CG9030
FBpp0311202	FBgn0262480	CG43070
FBpp0293358	FBgn0262480	CG43070
FBpp0304847	FBgn0012036	Aldh
FBpp0079406	FBgn0012036	Aldh
FBpp0297194	FBgn0262808	CG43179
FBpp0074254	FBgn0030858	IntS2
FBpp0073066	FBgn0035498	Fit1
FBpp0073065	FBgn0035498	Fit1
FBpp0111350	FBgn0250825	CG34241
FBpp0086725	FBgn0033893	CG18371
FBpp0091051	FBgn0053803	His3:CG33803
FBpp0072659	FBgn0035272	mRpL46
FBpp0087365	FBgn0001122	Galphao
FBpp0087363	FBgn0001122	Galphao
FBpp0087362	FBgn0001122	Galphao
FBpp0087359	FBgn0001122	Galphao
FBpp0089315	FBgn0001122	Galphao
FBpp0089316	FBgn0001122	Galphao
FBpp0087361	FBgn0001122	Galphao
FBpp0087364	FBgn0001122	Galphao
FBpp0087360	FBgn0001122	Galphao
FBpp0305278	FBgn0001122	Galphao
FBpp0083897	FBgn0039135	CG13603
FBpp0309634	FBgn0015524	otp
FBpp0423156	FBgn0015524	otp
FBpp0309636	FBgn0015524	otp
FBpp0288728	FBgn0015524	otp
FBpp0309632	FBgn0015524	otp
FBpp0309637	FBgn0015524	otp
FBpp0110069	FBgn0015524	otp
FBpp0309633	FBgn0015524	otp
FBpp0309635	FBgn0015524	otp
FBpp0303956	FBgn0287585	Pss
FBpp0077872	FBgn0287585	Pss
FBpp0079353	FBgn0032058	CG9289
FBpp0079782	FBgn0032335	CG14915
FBpp0271744	FBgn0013812	Dhc93AB
FBpp0307750	FBgn0013812	Dhc93AB
FBpp0075191	FBgn0036602	CG13042
FBpp0305594	FBgn0035227	Iml1
FBpp0305593	FBgn0035227	Iml1
FBpp0072589	FBgn0035227	Iml1
FBpp0072587	FBgn0035227	Iml1
FBpp0072588	FBgn0035227	Iml1
FBpp0308654	FBgn0265373	CG44314
FBpp0308655	FBgn0265373	CG44314
FBpp0308656	FBgn0265373	CG44314
FBpp0303890	FBgn0264297	CG43775
FBpp0072044	FBgn0034928	CG13562
FBpp0297130	FBgn0034928	CG13562
FBpp0307838	FBgn0031032	CG14204
FBpp0074498	FBgn0031032	CG14204
FBpp0077307	FBgn0015521	RpS21
FBpp0307130	FBgn0015521	RpS21
FBpp0077309	FBgn0015521	RpS21
FBpp0077308	FBgn0015521	RpS21
FBpp0271801	FBgn0015521	RpS21
FBpp0084547	FBgn0039503	CG14262
FBpp0110299	FBgn0000163	baz
FBpp0310322	FBgn0000163	baz
FBpp0310323	FBgn0000163	baz
FBpp0074162	FBgn0000163	baz
FBpp0074513	FBgn0031047	Rcd-1
FBpp0306392	FBgn0031047	Rcd-1
FBpp0074512	FBgn0031047	Rcd-1
FBpp0302615	FBgn0260393	CG17147
FBpp0428257	FBgn0036348	CG17687
FBpp0080327	FBgn0001987	Gli
FBpp0080328	FBgn0001987	Gli
FBpp0310295	FBgn0001987	Gli
FBpp0080326	FBgn0001987	Gli
FBpp0080324	FBgn0001987	Gli
FBpp0085071	FBgn0003720	tll
FBpp0083530	FBgn0038902	CG6800
FBpp0074921	FBgn0036769	Tsp74F
FBpp0074920	FBgn0036769	Tsp74F
FBpp0072538	FBgn0004870	bab1
FBpp0305468	FBgn0004870	bab1
FBpp0305466	FBgn0004870	bab1
FBpp0305467	FBgn0004870	bab1
FBpp0086251	FBgn0016131	Cdk4
FBpp0309069	FBgn0016131	Cdk4
FBpp0311495	FBgn0016131	Cdk4
FBpp0086250	FBgn0016131	Cdk4
FBpp0086249	FBgn0016131	Cdk4
FBpp0075225	FBgn0036599	CG13044
FBpp0073736	FBgn0030563	betaNACtes2
FBpp0297291	FBgn0262855	CG43219
FBpp0422632	FBgn0285938	CG46335
FBpp0290779	FBgn0260870	CG42580
FBpp0304764	FBgn0031170	Abca3
FBpp0304765	FBgn0031170	Abca3
FBpp0297618	FBgn0031170	Abca3
FBpp0424328	FBgn0053143	CG33143
FBpp0309760	FBgn0053143	CG33143
FBpp0309761	FBgn0053143	CG33143
FBpp0071769	FBgn0053143	CG33143
FBpp0110263	FBgn0038435	Gyc89Da
FBpp0110262	FBgn0038435	Gyc89Da
FBpp0293248	FBgn0004901	Prat
FBpp0081261	FBgn0004901	Prat
FBpp0311128	FBgn0035238	CG12104
FBpp0072705	FBgn0035238	CG12104
FBpp0305552	FBgn0035238	CG12104
FBpp0311986	FBgn0039713	RpS8
FBpp0311987	FBgn0039713	RpS8
FBpp0301957	FBgn0039713	RpS8
FBpp0099686	FBgn0039713	RpS8
FBpp0309008	FBgn0033987	ckn
FBpp0086542	FBgn0033987	ckn
FBpp0311861	FBgn0033987	ckn
FBpp0086540	FBgn0033987	ckn
FBpp0311860	FBgn0033987	ckn
FBpp0071021	FBgn0029949	CG15035
FBpp0074380	FBgn0010383	Cyp18a1
FBpp0074381	FBgn0010383	Cyp18a1
FBpp0078666	FBgn0031677	CG14036
FBpp0300568	FBgn0039889	Arl4
FBpp0088220	FBgn0039889	Arl4
FBpp0305833	FBgn0039889	Arl4
FBpp0304934	FBgn0011836	Taf2
FBpp0076090	FBgn0011836	Taf2
FBpp0310654	FBgn0030912	CG6023
FBpp0074351	FBgn0030912	CG6023
FBpp0079519	FBgn0000180	bib
FBpp0303019	FBgn0000180	bib
FBpp0111680	FBgn0085491	CG34462
FBpp0309988	FBgn0029888	ND-ASHI
FBpp0070950	FBgn0029888	ND-ASHI
FBpp0099823	FBgn0029888	ND-ASHI
FBpp0085699	FBgn0034423	tbrd-2
FBpp0311544	FBgn0028953	CG14478
FBpp0311545	FBgn0028953	CG14478
FBpp0086077	FBgn0028953	CG14478
FBpp0086078	FBgn0028953	CG14478
FBpp0310374	FBgn0032685	CG10211
FBpp0080619	FBgn0032685	CG10211
FBpp0289287	FBgn0003984	vn
FBpp0076790	FBgn0003984	vn
FBpp0292248	FBgn0041242	Gr47a
FBpp0070285	FBgn0027793	CG14787
FBpp0079275	FBgn0032039	CG13385
FBpp0310134	FBgn0029740	CG12680
FBpp0289295	FBgn0029740	CG12680
FBpp0081382	FBgn0037591	Or85c
FBpp0074919	FBgn0036770	Prestin
FBpp0082129	FBgn0002719	Men
FBpp0303058	FBgn0002719	Men
FBpp0082130	FBgn0002719	Men
FBpp0080616	FBgn0032680	Ntf-2r
FBpp0079430	FBgn0032126	CG13113
FBpp0085008	FBgn0039774	CDase
FBpp0085011	FBgn0039774	CDase
FBpp0085007	FBgn0039774	CDase
FBpp0085009	FBgn0039774	CDase
FBpp0085010	FBgn0039774	CDase
FBpp0303775	FBgn0039774	CDase
FBpp0072806	FBgn0035355	CG16985
FBpp0087878	FBgn0033279	CG2291
FBpp0308418	FBgn0033279	CG2291
FBpp0289226	FBgn0259700	CG42354
FBpp0301998	FBgn0259700	CG42354
FBpp0301999	FBgn0259700	CG42354
FBpp0301997	FBgn0259700	CG42354
FBpp0289227	FBgn0259700	CG42354
FBpp0289228	FBgn0259700	CG42354
FBpp0074025	FBgn0040207	kat80
FBpp0074026	FBgn0040207	kat80
FBpp0309385	FBgn0040207	kat80
FBpp0303063	FBgn0051221	CG31221
FBpp0083177	FBgn0051221	CG31221
FBpp0083176	FBgn0051221	CG31221
FBpp0071508	FBgn0003891	tud
FBpp0309672	FBgn0003891	tud
FBpp0080373	FBgn0028520	CG4891
FBpp0305859	FBgn0036833	CG3819
FBpp0074815	FBgn0036833	CG3819
FBpp0297296	FBgn0262858	MtnF
FBpp0308281	FBgn0262858	MtnF
FBpp0081318	FBgn0010433	ato
FBpp0298338	FBgn0263113	Cc2d2a
FBpp0293623	FBgn0000414	Dab
FBpp0303223	FBgn0000414	Dab
FBpp0293621	FBgn0000414	Dab
FBpp0305801	FBgn0000414	Dab
FBpp0075077	FBgn0000414	Dab
FBpp0305800	FBgn0000414	Dab
FBpp0293622	FBgn0000414	Dab
FBpp0303222	FBgn0000414	Dab
FBpp0100157	FBgn0010114	hig
FBpp0087687	FBgn0010114	hig
FBpp0087688	FBgn0010114	hig
FBpp0087689	FBgn0010114	hig
FBpp0081084	FBgn0037472	CG10098
FBpp0307229	FBgn0051213	CG31213
FBpp0307228	FBgn0051213	CG31213
FBpp0079288	FBgn0051897	CG31897
FBpp0073501	FBgn0030391	Rab40
FBpp0308873	FBgn0030391	Rab40
FBpp0073502	FBgn0030391	Rab40
FBpp0311010	FBgn0029746	CG15465
FBpp0070710	FBgn0029746	CG15465
FBpp0081946	FBgn0037950	HisCl1
FBpp0089167	FBgn0037950	HisCl1
FBpp0089166	FBgn0037950	HisCl1
FBpp0291040	FBgn0037950	HisCl1
FBpp0289846	FBgn0052457	CG32457
FBpp0289847	FBgn0052457	CG32457
FBpp0290871	FBgn0003598	Su(var)3-7
FBpp0082204	FBgn0003598	Su(var)3-7
FBpp0305743	FBgn0035523	Ctl1
FBpp0073088	FBgn0035523	Ctl1
FBpp0077214	FBgn0031544	CG17593
FBpp0305448	FBgn0031544	CG17593
FBpp0073230	FBgn0035584	CG17030
FBpp0084526	FBgn0011289	TfIIA-L
FBpp0084525	FBgn0011289	TfIIA-L
FBpp0084524	FBgn0011289	TfIIA-L
FBpp0085746	FBgn0034426	AANATL5
FBpp0308492	FBgn0051441	CG31441
FBpp0081831	FBgn0051441	CG31441
FBpp0304433	FBgn0014849	Eig71Ei
FBpp0075327	FBgn0014849	Eig71Ei
FBpp0070045	FBgn0052350	Vps11
FBpp0291511	FBgn0037420	CG15597
FBpp0303600	FBgn0036621	roq
FBpp0075181	FBgn0036621	roq
FBpp0305463	FBgn0036621	roq
FBpp0305380	FBgn0259677	CG42346
FBpp0305379	FBgn0259677	CG42346
FBpp0070114	FBgn0001341	Mybbp1A
FBpp0075455	FBgn0036439	CG13474
FBpp0087737	FBgn0033355	CG13748
FBpp0081088	FBgn0011020	Sas-4
FBpp0077056	FBgn0031194	CG17598
FBpp0305865	FBgn0031194	CG17598
FBpp0073719	FBgn0030552	mRpL38
FBpp0112220	FBgn0039735	Nph
FBpp0084971	FBgn0039735	Nph
FBpp0077651	FBgn0031305	Iris
FBpp0070876	FBgn0000524	dx
FBpp0088481	FBgn0004575	Syn
FBpp0099901	FBgn0004575	Syn
FBpp0088969	FBgn0004575	Syn
FBpp0099902	FBgn0004575	Syn
FBpp0085093	FBgn0039812	CG15548
FBpp0086764	FBgn0033875	CG6357
FBpp0082131	FBgn0002905	PolQ
FBpp0311879	FBgn0284435	tyn
FBpp0099482	FBgn0284435	tyn
FBpp0309064	FBgn0284435	tyn
FBpp0311878	FBgn0284435	tyn
FBpp0309063	FBgn0284435	tyn
FBpp0099481	FBgn0284435	tyn
FBpp0401522	FBgn0023177	Pp4-19C
FBpp0311268	FBgn0023177	Pp4-19C
FBpp0077017	FBgn0023177	Pp4-19C
FBpp0312200	FBgn0023177	Pp4-19C
FBpp0077016	FBgn0023177	Pp4-19C
FBpp0072489	FBgn0028999	nerfin-1
FBpp0086837	FBgn0033830	CG10814
FBpp0080582	FBgn0243486	rdo
FBpp0309203	FBgn0243486	rdo
FBpp0073792	FBgn0030597	Eo
FBpp0080990	FBgn0010395	Itgbn
FBpp0312322	FBgn0010395	Itgbn
FBpp0084082	FBgn0039233	CG7006
FBpp0304053	FBgn0259111	Ndae1
FBpp0304048	FBgn0259111	Ndae1
FBpp0304049	FBgn0259111	Ndae1
FBpp0304052	FBgn0259111	Ndae1
FBpp0288812	FBgn0259111	Ndae1
FBpp0288814	FBgn0259111	Ndae1
FBpp0288813	FBgn0259111	Ndae1
FBpp0304050	FBgn0259111	Ndae1
FBpp0304054	FBgn0259111	Ndae1
FBpp0304051	FBgn0259111	Ndae1
FBpp0084534	FBgn0015737	Hmu
FBpp0113032	FBgn0030830	CG5172
FBpp0113031	FBgn0030830	CG5172
FBpp0306937	FBgn0039198	CG5768
FBpp0306938	FBgn0039198	CG5768
FBpp0428097	FBgn0039198	CG5768
FBpp0289201	FBgn0033000	CG14464
FBpp0311516	FBgn0033000	CG14464
FBpp0111356	FBgn0085276	CG34247
FBpp0085657	FBgn0002716	mei-W68
FBpp0077856	FBgn0036998	CG5969
FBpp0088015	FBgn0033210	U2A
FBpp0078995	FBgn0031869	CG18304
FBpp0297395	FBgn0031869	CG18304
FBpp0304604	FBgn0031869	CG18304
FBpp0304605	FBgn0031869	CG18304
FBpp0072031	FBgn0050177	CG30177
FBpp0078615	FBgn0037227	TwdlV
FBpp0297203	FBgn0262819	CG43190
FBpp0078720	FBgn0003716	tkv
FBpp0078723	FBgn0003716	tkv
FBpp0078722	FBgn0003716	tkv
FBpp0078721	FBgn0003716	tkv
FBpp0308798	FBgn0030872	Ucp4A
FBpp0074238	FBgn0030872	Ucp4A
FBpp0292605	FBgn0030872	Ucp4A
FBpp0070142	FBgn0025620	CG13360
FBpp0070726	FBgn0029747	CG5062
FBpp0072382	FBgn0035107	mri
FBpp0312194	FBgn0035107	mri
FBpp0072383	FBgn0035107	mri
FBpp0308603	FBgn0032873	CG2614
FBpp0080918	FBgn0032873	CG2614
FBpp0081216	FBgn0010282	TfIIFalpha
FBpp0310242	FBgn0030435	CG4645
FBpp0073525	FBgn0030435	CG4645
FBpp0312048	FBgn0030435	CG4645
FBpp0075848	FBgn0052087	CG32087
FBpp0070622	FBgn0029705	CG12693
FBpp0088127	FBgn0015038	Cyp9b1
FBpp0070745	FBgn0029770	CG4151
FBpp0311777	FBgn0029770	CG4151
FBpp0271906	FBgn0035770	pst
FBpp0304977	FBgn0035770	pst
FBpp0271907	FBgn0035770	pst
FBpp0289271	FBgn0259728	CG42382
FBpp0082752	FBgn0038445	CG14891
FBpp0100168	FBgn0260454	CG17139
FBpp0289590	FBgn0051262	CG31262
FBpp0291992	FBgn0051262	CG31262
FBpp0289330	FBgn0051262	CG31262
FBpp0291993	FBgn0051262	CG31262
FBpp0293587	FBgn0039492	CG6051
FBpp0112209	FBgn0039492	CG6051
FBpp0308371	FBgn0039492	CG6051
FBpp0293414	FBgn0015774	NetB
FBpp0291228	FBgn0015774	NetB
FBpp0303986	FBgn0015774	NetB
FBpp0073757	FBgn0015774	NetB
FBpp0293415	FBgn0015774	NetB
FBpp0291227	FBgn0015774	NetB
FBpp0291226	FBgn0015774	NetB
FBpp0310543	FBgn0040968	CG14933
FBpp0079858	FBgn0040968	CG14933
FBpp0309502	FBgn0016919	nompB
FBpp0290395	FBgn0016919	nompB
FBpp0290963	FBgn0260971	CG42594
FBpp0311747	FBgn0260971	CG42594
FBpp0311748	FBgn0260971	CG42594
FBpp0113023	FBgn0250732	gfzf
FBpp0290855	FBgn0250732	gfzf
FBpp0306732	FBgn0250732	gfzf
FBpp0100006	FBgn0036799	CG13380
FBpp0305091	FBgn0036799	CG13380
FBpp0310871	FBgn0036799	CG13380
FBpp0305858	FBgn0036825	RpL26
FBpp0074833	FBgn0036825	RpL26
FBpp0312574	FBgn0036825	RpL26
FBpp0309887	FBgn0034841	atlas
FBpp0071910	FBgn0034841	atlas
FBpp0080250	FBgn0032551	CG18636
FBpp0288570	FBgn0036235	CG6938
FBpp0303204	FBgn0036235	CG6938
FBpp0305742	FBgn0263605	l(3)72Dn
FBpp0075239	FBgn0263605	l(3)72Dn
FBpp0289296	FBgn0029962	CARPA
FBpp0310005	FBgn0029962	CARPA
FBpp0401602	FBgn0263654	CG43645
FBpp0296980	FBgn0262719	CG43163
FBpp0300832	FBgn0262719	CG43163
FBpp0076861	FBgn0004380	Klp64D
FBpp0288562	FBgn0035545	CG12607
FBpp0306087	FBgn0035545	CG12607
FBpp0073158	FBgn0035545	CG12607
FBpp0312389	FBgn0035976	PGRP-LC
FBpp0290987	FBgn0035976	PGRP-LC
FBpp0422539	FBgn0035976	PGRP-LC
FBpp0289518	FBgn0035976	PGRP-LC
FBpp0300668	FBgn0035976	PGRP-LC
FBpp0422538	FBgn0035976	PGRP-LC
FBpp0088998	FBgn0035976	PGRP-LC
FBpp0088492	FBgn0035976	PGRP-LC
FBpp0088491	FBgn0035976	PGRP-LC
FBpp0289519	FBgn0035976	PGRP-LC
FBpp0072263	FBgn0035004	Pgam5-2
FBpp0073178	FBgn0052243	CG32243
